=== Argument Setting ===
src: community
tgt: news
seed: 42
train_seed: 42
model_type: bert
max_seq_length: 128
batch_size: 16
pre_epochs: 3
num_epochs: 3
AD weight: 1.0
KD weight: 1.0
temperature: 20
=== Processing datasets ===
writing example 200 of 1600
writing example 400 of 1600
writing example 600 of 1600
writing example 800 of 1600
writing example 1000 of 1600
writing example 1200 of 1600
writing example 1400 of 1600
writing example 1600 of 1600
writing example 200 of 400
writing example 400 of 400
writing example 200 of 2000
writing example 400 of 2000
writing example 600 of 2000
writing example 800 of 2000
writing example 1000 of 2000
writing example 1200 of 2000
writing example 1400 of 2000
writing example 1600 of 2000
writing example 1800 of 2000
writing example 2000 of 2000
writing example 200 of 1600
writing example 400 of 1600
writing example 600 of 1600
writing example 800 of 1600
writing example 1000 of 1600
writing example 1200 of 1600
writing example 1400 of 1600
writing example 1600 of 1600
=== Training classifier for source domain ===
Epoch [01/03] Step [001/100]: cls_loss=0.7423
Epoch [01/03] Step [002/100]: cls_loss=0.7146
Epoch [01/03] Step [003/100]: cls_loss=0.6793
Epoch [01/03] Step [004/100]: cls_loss=0.7401
Epoch [01/03] Step [005/100]: cls_loss=0.6863
Epoch [01/03] Step [006/100]: cls_loss=0.6445
Epoch [01/03] Step [007/100]: cls_loss=0.6558
Epoch [01/03] Step [008/100]: cls_loss=0.7099
Epoch [01/03] Step [009/100]: cls_loss=0.6938
Epoch [01/03] Step [010/100]: cls_loss=0.6160
Epoch [01/03] Step [011/100]: cls_loss=0.7293
Epoch [01/03] Step [012/100]: cls_loss=0.7606
Epoch [01/03] Step [013/100]: cls_loss=0.6972
Epoch [01/03] Step [014/100]: cls_loss=0.6718
Epoch [01/03] Step [015/100]: cls_loss=0.6412
Epoch [01/03] Step [016/100]: cls_loss=0.5866
Epoch [01/03] Step [017/100]: cls_loss=0.5598
Epoch [01/03] Step [018/100]: cls_loss=0.6972
Epoch [01/03] Step [019/100]: cls_loss=0.5107
Epoch [01/03] Step [020/100]: cls_loss=0.6730
Epoch [01/03] Step [021/100]: cls_loss=0.6208
Epoch [01/03] Step [022/100]: cls_loss=0.5662
Epoch [01/03] Step [023/100]: cls_loss=0.9174
Epoch [01/03] Step [024/100]: cls_loss=0.5075
Epoch [01/03] Step [025/100]: cls_loss=0.6876
Epoch [01/03] Step [026/100]: cls_loss=0.6847
Epoch [01/03] Step [027/100]: cls_loss=0.6195
Epoch [01/03] Step [028/100]: cls_loss=0.6056
Epoch [01/03] Step [029/100]: cls_loss=0.6179
Epoch [01/03] Step [030/100]: cls_loss=0.7505
Epoch [01/03] Step [031/100]: cls_loss=0.7664
Epoch [01/03] Step [032/100]: cls_loss=0.7065
Epoch [01/03] Step [033/100]: cls_loss=0.6244
Epoch [01/03] Step [034/100]: cls_loss=0.6980
Epoch [01/03] Step [035/100]: cls_loss=0.6776
Epoch [01/03] Step [036/100]: cls_loss=0.6892
Epoch [01/03] Step [037/100]: cls_loss=0.6673
Epoch [01/03] Step [038/100]: cls_loss=0.6288
Epoch [01/03] Step [039/100]: cls_loss=0.6098
Epoch [01/03] Step [040/100]: cls_loss=0.7385
Epoch [01/03] Step [041/100]: cls_loss=0.7001
Epoch [01/03] Step [042/100]: cls_loss=0.6493
Epoch [01/03] Step [043/100]: cls_loss=0.6619
Epoch [01/03] Step [044/100]: cls_loss=0.6476
Epoch [01/03] Step [045/100]: cls_loss=0.6738
Epoch [01/03] Step [046/100]: cls_loss=0.6913
Epoch [01/03] Step [047/100]: cls_loss=0.6474
Epoch [01/03] Step [048/100]: cls_loss=0.6865
Epoch [01/03] Step [049/100]: cls_loss=0.7458
Epoch [01/03] Step [050/100]: cls_loss=0.6976
Epoch [01/03] Step [051/100]: cls_loss=0.7659
Epoch [01/03] Step [052/100]: cls_loss=0.7696
Epoch [01/03] Step [053/100]: cls_loss=0.7092
Epoch [01/03] Step [054/100]: cls_loss=0.7739
Epoch [01/03] Step [055/100]: cls_loss=0.6588
Epoch [01/03] Step [056/100]: cls_loss=0.7026
Epoch [01/03] Step [057/100]: cls_loss=0.6809
Epoch [01/03] Step [058/100]: cls_loss=0.6752
Epoch [01/03] Step [059/100]: cls_loss=0.7011
Epoch [01/03] Step [060/100]: cls_loss=0.6677
Epoch [01/03] Step [061/100]: cls_loss=0.6520
Epoch [01/03] Step [062/100]: cls_loss=0.6526
Epoch [01/03] Step [063/100]: cls_loss=0.6800
Epoch [01/03] Step [064/100]: cls_loss=0.6243
Epoch [01/03] Step [065/100]: cls_loss=0.6310
Epoch [01/03] Step [066/100]: cls_loss=0.6723
Epoch [01/03] Step [067/100]: cls_loss=0.7647
Epoch [01/03] Step [068/100]: cls_loss=0.6698
Epoch [01/03] Step [069/100]: cls_loss=0.7293
Epoch [01/03] Step [070/100]: cls_loss=0.6694
Epoch [01/03] Step [071/100]: cls_loss=0.6564
Epoch [01/03] Step [072/100]: cls_loss=0.6676
Epoch [01/03] Step [073/100]: cls_loss=0.5948
Epoch [01/03] Step [074/100]: cls_loss=0.6286
Epoch [01/03] Step [075/100]: cls_loss=0.6578
Epoch [01/03] Step [076/100]: cls_loss=0.5971
Epoch [01/03] Step [077/100]: cls_loss=0.7481
Epoch [01/03] Step [078/100]: cls_loss=0.6641
Epoch [01/03] Step [079/100]: cls_loss=0.7109
Epoch [01/03] Step [080/100]: cls_loss=0.7292
Epoch [01/03] Step [081/100]: cls_loss=0.5466
Epoch [01/03] Step [082/100]: cls_loss=0.6042
Epoch [01/03] Step [083/100]: cls_loss=0.6560
Epoch [01/03] Step [084/100]: cls_loss=0.7380
Epoch [01/03] Step [085/100]: cls_loss=0.6287
Epoch [01/03] Step [086/100]: cls_loss=0.7833
Epoch [01/03] Step [087/100]: cls_loss=0.7730
Epoch [01/03] Step [088/100]: cls_loss=0.7027
Epoch [01/03] Step [089/100]: cls_loss=0.7215
Epoch [01/03] Step [090/100]: cls_loss=0.6877
Epoch [01/03] Step [091/100]: cls_loss=0.6647
Epoch [01/03] Step [092/100]: cls_loss=0.7173
Epoch [01/03] Step [093/100]: cls_loss=0.7094
